primary_type,support,precision,recall,f1
NARCOTICS,58,0.9137931034482759,1.0,0.954954954954955
WEAPONS VIOLATION,53,0.7307692307692307,1.0,0.8444444444444444
ROBBERY,56,0.7142857142857143,0.7142857142857143,0.7142857142857143
CRIMINAL TRESPASS,43,0.5,0.8333333333333334,0.625
OTHER OFFENSE,134,0.5,0.36,0.4186046511627907
DECEPTIVE PRACTICE,136,1.0,0.25,0.4
BATTERY,379,0.6538461538461539,0.2833333333333333,0.3953488372093023
THEFT,473,0.3333333333333333,0.175,0.22950819672131148
CRIMINAL DAMAGE,232,1.0,0.1111111111111111,0.2
ASSAULT,187,0.3333333333333333,0.045454545454545456,0.08
BURGLARY,96,0.0,0.0,0.0
MOTOR VEHICLE THEFT,160,0.0,0.0,0.0
