primary_type,support,precision,recall,f1
NARCOTICS,58,0.9137931034482759,1.0,0.954954954954955
WEAPONS VIOLATION,53,0.7169811320754716,1.0,0.8351648351648352
ROBBERY,56,0.7142857142857143,0.7142857142857143,0.7142857142857143
CRIMINAL TRESPASS,43,0.5263157894736842,0.8333333333333334,0.6451612903225806
OTHER OFFENSE,134,0.5,0.52,0.5098039215686274
BURGLARY,96,1.0,0.3333333333333333,0.5
MOTOR VEHICLE THEFT,160,1.0,0.3333333333333333,0.5
DECEPTIVE PRACTICE,136,1.0,0.25,0.4
BATTERY,379,0.6296296296296297,0.2833333333333333,0.39080459770114945
THEFT,473,0.3181818181818182,0.175,0.22580645161290322
CRIMINAL DAMAGE,232,1.0,0.1111111111111111,0.2
ASSAULT,187,0.5,0.09090909090909091,0.15384615384615385
